Year,global_co2,temp_anomaly,temp_anomaly_5yr,sea_level_mm,sea_level_5yr,n_disasters
2010,32237.28674974665,0.72,0.632,8.83464566,8.7622047154,393.0
2011,33365.63909715414,0.61,0.658,8.897637786,8.8842519594,334.0
2012,33852.79393326491,0.64,0.678,9.244094479,,346.0
2013,34157.65803739056,0.67,0.712,8.913385818,,332.0
2014,34342.717398200184,0.75,0.792,,,320.0
2015,34242.61753740534,0.89,0.8460000000000001,,,380.0
2016,34214.957504289225,1.01,0.882,,,325.0
2017,34765.471572825685,0.91,0.9279999999999999,,,276.0
2018,35489.5826525297,0.85,0.952,,,282.0
2019,35838.60681208037,0.98,0.9199999999999999,,,361.0
2020,34310.22766253352,1.01,0.916,,,
2021,35978.96477871947,0.85,0.9800000000000001,,,
2022,36553.53307995014,0.89,1.0399999999999998,,,
2023,37003.06989342254,1.17,1.076,,,
2024,37398.06442559138,1.28,,,,
2025,,1.19,,,,
